Airport;Location;Country;Passengers;Year
China Guangzhou Baiyun International Airport;Baiyun-Huadu;China;43760427;2020
United States Hartsfield-Jackson Atlanta International Airport;Atlanta;United States;42918685;2020
China Chengdu Shuangliu International Airport;Shuangliu-Wuhou;China;40741509;2020
United States Dallas-Fort Worth International Airport;Dallas-Fort Worth;United States;39364990;2020
China Shenzhen Baoan International Airport;Baoan;China;37916059;2020
China Chongqing Jiangbei International Airport;Yubei;China;34937789;2020
China Beijing Capital International Airport;Chaoyang-Shunyi;China;34513827;2020
United States Denver International Airport;Denver;United States;33741129;2020
China Kunming Changshui International Airport;Guandu;China;32989127;2020
China Shanghai Hongqiao International Airport;Changning-Minhang;China;31165641;2020
China Xian Xianyang International Airport;Weicheng;China;31073884;2020
Japan Tokyo Haneda Airport;Ota;Japan;30965027;2020
United States OHare International Airport;Chicago;United States;30860251;2020
China Shanghai Pudong International Airport;Pudong;China;30476531;2020
United States Los Angeles International Airport;Los Angeles;United States;28779527;2020
India Indira Gandhi International Airport;Delhi;India;28501000;2020
China Hangzhou Xiaoshan International Airport;Xiaoshan;China;28224342;2020
United States Charlotte Douglas International Airport;Charlotte;United States;27200000;2020
United Arab Emirates Dubai International Airport;Garhoud;United Arab Emirates;25900000;2020
Turkey Istanbul Airport;Arnavutkoy;Turkey;23409000;2020
France Charles de Gaulle Airport;Roissy-en-France;France;22257469;2020
United Kingdom Heathrow Airport;Hillingdon;United Kingdom;22109726;2020
Mexico Mexico City International Airport;Venustiano Carranza;Mexico;21981711;2020
United States Phoenix Sky Harbor International Airport;Phoenix;United States;21928708;2020
Vietnam Tan Son Nhat International Airport;Tan Binh District;Vietnam;21900000;2020
United States Orlando International Airport;Orlando;United States;21617803;2020
China Zhengzhou Xinzheng International Airport;Xinzheng;China;21406709;2020
South Korea Jeju International Airport;Jeju City;South Korea;21054696;2020
Netherlands Amsterdam Airport Schiphol;Haarlemmermeer;Netherlands;20887174;2020
Brazil Sao Paulo-Guarulhos International Airport;Guarulhos;Brazil;20322520;2020
United States Seattle-Tacoma International Airport;SeaTac;United States;20061507;2020
China Nanjing Lukou International Airport;Jiangning District;China;19906576;2020
Russia Sheremetyevo International Airport;Khimki;Russia;19784000;2020
China Changsha Huanghua International Airport;Huanghua;China;19223825;2020
Germany Frankfurt Airport;Frankfurt;Germany;18770998;2020
United States Miami International Airport;Miami-Dade County;United States;18663858;2020
United States George Bush Intercontinental Airport;Houston;United States;18213571;2020
South Korea Gimpo International Airport;Gangseo District;South Korea;17446239;2020
Spain Madrid Barajas Airport;Barajas;Spain;17112000;2020
Turkey Istanbul Sabiha Gokcen International Airport;Pendik;Turkey;16982456;2020
China Xiamen Gaoqi International Airport;Huli District;China;16710197;2020
Thailand Suvarnabhumi Airport;Bang Phli;Thailand;16706000;2020
United States John F. Kennedy International Airport;Queens;United States;16630642;2020
China Guiyang Longdongbao International Airport;Nanming District;China;16583878;2020
China Haikou Meilan International Airport;Lingshan;China;16490216;2020
United States Fort Lauderdale-Hollywood International Airport;Broward County;United States;16484132;2020
United States San Francisco International Airport;San Mateo County;United States;16409625;2020
Russia Moscow Domodedovo Airport;Domodedovo;Russia;16300000;2020
China Beijing Daxing International Airport;Daxing District;China;16091449;2020
United States Newark Liberty International Airport;Newark;United States;15892892;2020
United States Hartsfield-Jackson Atlanta International Airport;Atlanta;United States;110531300;2019
China Beijing Capital International Airport;Chaoyang-Shunyi;China;100011438;2019
United States Los Angeles International Airport;Los Angeles;United States;88068013;2019
United Arab Emirates Dubai International Airport;Garhoud;United Arab Emirates;86396757;2019
Japan Tokyo Haneda Airport;Ota;Japan;85505054;2019
United States OHare International Airport;Chicago;United States;84372618;2019
United Kingdom Heathrow Airport;Hillingdon;United Kingdom;80888305;2019
China Shanghai Pudong International Airport;Pudong;China;76153455;2019
France Charles de Gaulle Airport;Roissy-en-France;France;76150009;2019
United States Dallas-Fort Worth International Airport;Dallas-Fort Worth;United States;75066956;2019
China Guangzhou Baiyun International Airport;Baiyun-Huadu;China;73378475;2019
Netherlands Amsterdam Airport Schiphol;Haarlemmermeer;Netherlands;71706999;2019
Hong Kong Hong Kong International Airport;Chek Lap Kok;Hong Kong SAR - China;71415245;2019
South Korea Seoul Incheon International Airport;Incheon;South Korea;71204153;2019
Germany Frankfurt Airport;Frankfurt;Germany;70556072;2019
United States Denver International Airport;Denver;United States;69015703;2019
India Indira Gandhi International Airport;Delhi;India;68490731;2019
Singapore Singapore Changi Airport;Changi;Singapore;68283000;2019
Thailand Suvarnabhumi Airport;Bang Phli;Thailand;65421844;2019
United States John F. Kennedy International Airport;Queens;United States;62551072;2019
Malaysia Kuala Lumpur International Airport;Sepang;Malaysia;62336469;2019
Spain Madrid Barajas Airport;Barajas;Spain;61707469;2019
United States San Francisco International Airport;San Mateo County;United States;57418574;2019
China Chengdu Shuangliu International Airport;Shuangliu-Wuhou;China;55858552;2019
Indonesia Soekarno-Hatta International Airport;Tangerang;Indonesia;54496625;2019
China Shenzhen Baoan International Airport;Baoan;China;52931925;2019
Spain Barcelona-El Prat Airport;Barcelona;Spain;52663623;2019
Turkey Istanbul Airport;Arnavutkoy;Turkey;52009220;2019
United States Seattle-Tacoma International Airport;SeaTac;United States;51829239;2019
United States McCarran International Airport;Las Vegas;United States;51691066;2019
United States Orlando International Airport;Orlando;United States;50613072;2019
Canada Toronto Pearson International Airport;Mississauga;Canada;50496804;2019
Mexico Mexico City International Airport;Venustiano Carranza;Mexico;50308049;2019
United States Charlotte Douglas International Airport;Charlotte;United States;50168783;2019
Russia Sheremetyevo International Airport;Khimki;Russia;49932752;2019
Taiwan Taiwan Taoyuan International Airport;Dayuan;Taiwan;48689372;2019
China Kunming Changshui International Airport;Guandu;China;48076238;2019
Germany Munich Airport;Freising;Germany;47941348;2019
Philippines Ninoy Aquino International Airport;Pasay-Paranaque;Philippines;47898046;2019
China Xian Xianyang International Airport;Weicheng;China;47220547;2019
India Chhatrapati Shivaji Maharaj International Airport;Mumbai;India;47055740;2019
United Kingdom London Gatwick Airport;Crawley;United Kingdom;46576473;2019
United States Newark Liberty International Airport;Newark;United States;46336452;2019
United States Phoenix Sky Harbor International Airport;Phoenix;United States;46287790;2019
United States Miami International Airport;Miami-Dade County;United States;45924466;2019
China Shanghai Hongqiao International Airport;Changning-Minhang;China;45637882;2019
United States George Bush Intercontinental Airport;Houston;United States;44990399;2019
China Chongqing Jiangbei International Airport;Yubei;China;44786722;2019
Australia Sydney Kingsford-Smith Airport;Mascot;Australia;44446838;2019
Japan Narita International Airport;Narita;Japan;44340847;2019
United States Hartsfield-Jackson Atlanta International Airport;Atlanta;United States;107394029;2018
China Beijing Capital International Airport;Chaoyang-Shunyi;China;100983290;2018
United Arab Emirates Dubai International Airport;Garhoud;United Arab Emirates;89149387;2018
United States Los Angeles International Airport;Los Angeles;United States;87534384;2018
Japan Tokyo Haneda Airport;Ota;Japan;87502720;2018
United States OHare International Airport;Chicago;United States;83339186;2018
United Kingdom Heathrow Airport;Hillingdon;United Kingdom;80126320;2018
Hong Kong Hong Kong International Airport;Chek Lap Kok;Hong Kong SAR - China;74517402;2018
China Shanghai Pudong International Airport;Pudong;China;74006331;2018
France Charles de Gaulle Airport;Roissy-en-France;France;72229723;2018
Netherlands Amsterdam Airport Schiphol;Haarlemmermeer;Netherlands;71053147;2018
India Indira Gandhi International Airport;Delhi;India;69900938;2018
China Guangzhou Baiyun International Airport;Baiyun-Huadu;China;69769497;2018
Germany Frankfurt Airport;Frankfurt;Germany;69510269;2018
United States Dallas-Fort Worth International Airport;Dallas-Fort Worth;United States;69112607;2018
South Korea Seoul Incheon International Airport;Incheon;South Korea;68350784;2018
Turkey Istanbul Ataturk Airport;Yesilkoy;Turkey;68192683;2018
Indonesia Soekarno-Hatta International Airport;Tangerang;Indonesia;66908159;2018
Singapore Singapore Changi Airport;Changi;Singapore;65628000;2018
United States Denver International Airport;Denver;United States;64494613;2018
Thailand Suvarnabhumi Airport;Bang Phli;Thailand;63378923;2018
United States John F. Kennedy International Airport;Queens;United States;61623756;2018
Malaysia Kuala Lumpur International Airport;Sepang;Malaysia;60013397;2018
Spain Madrid Barajas Airport;Barajas;Spain;57862951;2018
United States San Francisco International Airport;San Mateo County;United States;57708196;2018
China Chengdu Shuangliu International Airport;Shuangliu-Wuhou;China;52950529;2018
Spain Barcelona-El Prat Airport;Barcelona;Spain;50148228;2018
India Chhatrapati Shivaji Maharaj International Airport;Mumbai;India;49876769;2018
United States McCarran International Airport;Las Vegas;United States;49863090;2018
United States Seattle-Tacoma International Airport;SeaTac;United States;49849520;2018
Canada Toronto Pearson International Airport;Mississauga;Canada;49467097;2018
China Shenzhen Baoan International Airport;Baoan;China;49348950;2018
Mexico Mexico City International Airport;Venustiano Carranza;Mexico;47700834;2018
United States Orlando International Airport;Orlando;United States;47694573;2018
China Kunming Changshui International Airport;Guandu;China;47215986;2018
Taiwan Taiwan Taoyuan International Airport;Dayuan;Taiwan;46535180;2018
United States Charlotte Douglas International Airport;Charlotte;United States;46446721;2018
United Kingdom London Gatwick Airport;Crawley;United Kingdom;46432630;2018
Germany Munich Airport;Freising;Germany;46253623;2018
United States Newark Liberty International Airport;Newark;United States;46065175;2018
Russia Sheremetyevo International Airport;Khimki;Russia;45836255;2018
United States Miami International Airport;Miami-Dade County;United States;45044312;2018
United States Phoenix Sky Harbor International Airport;Phoenix;United States;44943686;2018
China Xian Xianyang International Airport;Weicheng;China;44653927;2018
Philippines Ninoy Aquino International Airport;Pasay-Paranaque;Philippines;44488321;2018
Australia Sydney Kingsford-Smith Airport;Mascot;Australia;44475976;2018
United States George Bush Intercontinental Airport;Houston;United States;43807539;2018
China Shanghai Hongqiao International Airport;Changning-Minhang;China;43628004;2018
Italy Rome-Fiumicino International Airport Leonardo da Vinci;Rome-Fiumicino;Italy;42991056;2018
Japan Narita International Airport;Narita;Japan;42549173;2018
United States Hartsfield-Jackson Atlanta International Airport;Atlanta;United States;103902992;2017
China Beijing Capital International Airport;Chaoyang-Shunyi;China;95786442;2017
United Arab Emirates Dubai International Airport;Garhoud;United Arab Emirates;88242099;2017
United States Los Angeles International Airport;Los Angeles;United States;84557968;2017
United States OHare International Airport;Chicago;United States;79828183;2017
United Kingdom Heathrow Airport;Hillingdon;United Kingdom;78014598;2017
Japan Tokyo Haneda Airport;Ota;Japan;76476251;2017
Hong Kong Hong Kong International Airport;Chek Lap Kok;Hong Kong SAR - China;72665078;2017
China Shanghai Pudong International Airport;Pudong;China;70001237;2017
France Charles de Gaulle Airport;Roissy-en-France;France;69471442;2017
Netherlands Amsterdam Airport Schiphol;Haarlemmermeer;Netherlands;68515425;2017
United States Dallas-Fort Worth International Airport;Dallas-Fort Worth;United States;67092194;2017
China Guangzhou Baiyun International Airport;Baiyun-Huadu;China;65887473;2017
Germany Frankfurt Airport;Frankfurt;Germany;64500386;2017
Turkey Istanbul Ataturk Airport;Yesilkoy;Turkey;63859785;2017
India Indira Gandhi International Airport;Delhi;India;63451503;2017
Indonesia Soekarno-Hatta International Airport;Tangerang;Indonesia;63015620;2017
Singapore Singapore Changi Airport;Changi;Singapore;62220000;2017
South Korea Seoul Incheon International Airport;Incheon;Republic of Korea;62157834;2017
United States Denver International Airport;Denver;United States;61379396;2017
Thailand Suvarnabhumi Airport;Bang Phli;Thailand;60860557;2017
United States John F. Kennedy International Airport;Queens;United States;59392500;2017
Malaysia Kuala Lumpur International Airport;Sepang;Malaysia;58558440;2017
United States San Francisco International Airport;San Mateo County;United States;55822129;2017
Spain Madrid Barajas Airport;Barajas;Spain;53386075;2017
China Chengdu Shuangliu International Airport;Shuangliu-Wuhou;China;49801693;2017
United States McCarran International Airport;Las Vegas;United States;48566803;2017
Spain Barcelona-El Prat Airport;Barcelona;Spain;47262826;2017
India Chhatrapati Shivaji Maharaj International Airport;Mumbai;India;47204259;2017
Canada Toronto Pearson International Airport;Mississauga;Canada;47054696;2017
United States Seattle-Tacoma International Airport;SeaTac;United States;46934194;2017
United States Charlotte Douglas International Airport;Charlotte;United States;45909899;2017
United Kingdom London Gatwick Airport;Crawley;United Kingdom;45561694;2017
China Shenzhen Baoan International Airport;Baoan;China;45558409;2017
Taiwan Taiwan Taoyuan International Airport;Dayuan;Taiwan;44878703;2017
Mexico Mexico City International Airport;Venustiano Carranza;Mexico;44732418;2017
China Kunming Changshui International Airport;Guandu;China;44729736;2017
Germany Munich Airport;Freising;Germany;44577241;2017
United States Orlando International Airport;Orlando;United States;44511265;2017
United States Miami International Airport;Miami-Dade County;United States;44071313;2017
United States Phoenix Sky Harbor International Airport;Phoenix;United States;43921670;2017
Australia Sydney Kingsford-Smith Airport;Mascot;Australia;43410355;2017
United States Newark Liberty International Airport;Newark;United States;43393499;2017
Philippines Ninoy Aquino International Airport;Pasay-Paranaque;Philippines;42022484;2017
China Shanghai Hongqiao International Airport;Changning-Minhang;China;41884059;2017
China Xian Xianyang International Airport;Weicheng;China;41857406;2017
Italy Rome-Fiumicino International Airport Leonardo da Vinci;Rome-Fiumicino;Italy;40968756;2017
United States George Bush Intercontinental Airport;Houston;United States;40696189;2017
Japan Narita International Airport;Narita;Japan;40631193;2017
Russia Sheremetyevo International Airport;Khimki;Russia;40092806;2017
United States Hartsfield-Jackson Atlanta International Airport;Atlanta;United States;104171935;2016
China Beijing Capital International Airport;Chaoyang-Shunyi;China;94393454;2016
United Arab Emirates Dubai International Airport;Garhoud;United Arab Emirates;83654250;2016
United States Los Angeles International Airport;Los Angeles;United States;80921527;2016
Japan Tokyo Haneda Airport;Ota;Japan;79699762;2016
United States OHare International Airport;Chicago;United States;78327479;2016
United Kingdom Heathrow Airport;Hillingdon;United Kingdom;75715474;2016
Hong Kong Hong Kong International Airport;Chek Lap Kok;Hong Kong SAR - China;70314462;2016
China Shanghai Pudong International Airport;Pudong;China;66002414;2016
